verbo|traducao_italiano|esempio|nivel
der Beginn (kein Pl.)|l'inizio|Der Beginn ist um 9 Uhr.|A2
das Beispiel, -e|l'esempio|Geben Sie mir ein Beispiel.|A2
die Beratung, -en|la consulenza|Ich brauche eine Beratung.|A2
die Beschäftigung, -en|l'occupazione, l'impiego|Ich suche eine Beschäftigung.|A2
die Beschwerde, -n|il reclamo|Ich möchte eine Beschwerde einreichen.|A2
die Bewegung, -en|il movimento|Bewegung ist gesund.|A2
die Beziehung, -en|la relazione, il rapporto|Sie haben eine gute Beziehung.|A2
die Bibliothek, -en|la biblioteca|Ich lerne in der Bibliothek.|A2
die Birne, -n|la pera|Ich esse gern Birnen.|A1
die Bluse, -n|la camicetta, la blusa|Die Bluse ist elegant.|A1
der Boden, Böden|il pavimento, il suolo|Der Boden ist sauber.|A2
die Bombe, -n|la bomba|Die Polizei fand eine Bombe.|B1
die Briefmarke, -n|il francobollo|Ich brauche eine Briefmarke.|A2
die Brille, -n|gli occhiali|Ich trage eine Brille.|A1
die Brücke, -n|il ponte|Die Brücke ist alt.|A2
die Brust, Brüste|il petto, il seno|Er hat Schmerzen in der Brust.|A2
die Burg, -en|il castello, la fortezza|Die Burg ist sehr alt.|A2
der Cent, -s|il centesimo|Das kostet 50 Cent.|A1
der Club, -s|il club|Ich bin Mitglied im Club.|A2
die Creme, -s|la crema|Die Creme ist gut für die Haut.|A2
der Daumen, -|il pollice|Er zeigt den Daumen nach oben.|A2
die Decke, -n|la coperta, il soffitto|Die Decke ist warm.|A2
der Dieb, -e|il ladro|Der Dieb wurde gefasst.|A2
der Dienst, -e|il servizio|Ich habe heute Dienst.|A2
der Dienstag, -e|il martedì|Am Dienstag habe ich einen Termin.|A1
das Ding, -e|la cosa, l'oggetto|Was ist das für ein Ding?|A2
der Donnerstag, -e|il giovedì|Am Donnerstag treffen wir uns.|A1
das Doppelzimmer, -|la camera doppia|Ich möchte ein Doppelzimmer buchen.|A2
das Dorf, Dörfer|il villaggio, il paese|Das Dorf ist klein.|A2
der Durst (kein Pl.)|la sete|Ich habe Durst.|A1
die Ecke, -n|l'angolo|Das Café ist an der Ecke.|A1
das Ei, -er|l'uovo|Ich esse ein Ei zum Frühstück.|A1
das Einkommen, -|il reddito|Mein Einkommen ist nicht schlecht.|A2
die Entscheidung, -en|la decisione|Das ist eine schwere Entscheidung.|A2
die Entwicklung, -en|lo sviluppo|Die Entwicklung ist positiv.|A2
das Ergebnis, -se|il risultato|Das Ergebnis ist gut.|A2
die Erfahrung, -en|l'esperienza|Ich habe viel Erfahrung.|A2
die Erinnerung, -en|il ricordo|Das ist eine schöne Erinnerung.|A2
die Erziehung (kein Pl.)|l'educazione|Die Erziehung der Kinder ist wichtig.|A2
der Euro, -s|l'euro|Das kostet 10 Euro.|A1
der Experte, -n / die Expertin, -nen|l'esperto / l'esperta|Der Experte erklärt das Problem.|A2
die Fahrt, -en|il viaggio, il tragitto|Die Fahrt dauert zwei Stunden.|A2
der Fall, Fälle|il caso|In diesem Fall bin ich nicht sicher.|A2
der Fan, -s|il tifoso, il fan|Ich bin ein großer Fan.|A2
der Februar|febbraio|Im Februar ist es noch kalt.|A1
das Feld, -er|il campo|Die Bauern arbeiten auf dem Feld.|A2
die Ferien (Pl.)|le vacanze (scolastiche)|In den Ferien fahre ich weg.|A1
das Fest, -e|la festa|Das Fest war schön.|A2
das Fleisch (kein Pl.)|la carne|Ich esse gern Fleisch.|A1
die Frage, -n|la domanda|Ich habe eine Frage.|A1
der Frosch, Frösche|la rana|Der Frosch springt ins Wasser.|A2
der Gabel, -n|la forchetta|Wo ist die Gabel?|A1
der Gang, Gänge|il corridoio, il passo|Der Gang ist lang und dunkel.|A2
die Garage, -n|il garage|Das Auto steht in der Garage.|A2
der Gedanke, -n|il pensiero|Das ist ein interessanter Gedanke.|A2
das Gemälde, -|il dipinto, il quadro|Das Gemälde ist wertvoll.|B1
die Gemeinde, -n|il comune, la comunità|Die Gemeinde organisiert ein Fest.|A2
der Genuss, Genüsse|il piacere, il godimento|Essen ist ein Genuss.|B1
die Gesellschaft, -en|la società|Die Gesellschaft verändert sich.|A2
die Gestalt, -en|la figura, la forma|Eine dunkle Gestalt erschien.|B1
das Gewicht, -e|il peso|Das Gewicht ist zu hoch.|A2
der Griff, -e|la maniglia, l'impugnatura|Fass den Griff an!|A2
die Größe, -n|la taglia, la grandezza|Welche Größe tragen Sie?|A2
der Hals, Hälse|il collo, la gola|Ich habe Halsschmerzen.|A2
die Hälfte, -n|la metà|Die Hälfte ist fertig.|A2
der Handel (kein Pl.)|il commercio|Der Handel wächst.|B1
das Handtuch, Handtücher|l'asciugamano|Ich brauche ein Handtuch.|A2
die Hauptstadt, Hauptstädte|la capitale|Berlin ist die Hauptstadt Deutschlands.|A1
der Helm, -e|il casco|Trag einen Helm beim Radfahren!|A2
das Hemd, -en|la camicia|Das Hemd ist weiß.|A1
die Heizung, -en|il riscaldamento|Die Heizung funktioniert nicht.|A2
der Herd, -e|il fornello, la cucina|Ich koche auf dem Herd.|A2
das Holz (kein Pl.)|il legno|Der Tisch ist aus Holz.|A2
die Hose, -n|i pantaloni|Die Hose ist zu lang.|A1
der Hügel, -|la collina|Wir steigen auf den Hügel.|A2
die Industrie, -n|l'industria|Die Industrie ist wichtig.|B1
die Insel, -n|l'isola|Wir fahren auf eine Insel.|A2
das Interesse, -n|l'interesse|Ich habe Interesse an Sprachen.|A2
das Interview, -s|l'intervista|Ich habe ein Interview gegeben.|A2
die Jacke, -n|la giacca|Zieh deine Jacke an!|A1
das Jubiläum, Jubiläen|l'anniversario, il giubileo|Wir feiern unser Jubiläum.|B1
die Jugend (kein Pl.)|la gioventù|Die Jugend ist die schönste Zeit.|A2
der Käse (kein Pl.)|il formaggio|Ich esse gern Käse.|A1
die Kasse, -n|la cassa|Bitte zahlen Sie an der Kasse.|A1
die Katze, -n|il gatto|Die Katze schläft.|A1
der Keller, -|la cantina|Der Wein ist im Keller.|A2
die Kerze, -n|la candela|Zünd die Kerze an!|A2
das Kissen, -|il cuscino|Das Kissen ist weich.|A2
das Klavier, -e|il pianoforte|Ich spiele Klavier.|A2
der König, -e / die Königin, -nen|il re / la regina|Der König lebt im Schloss.|A2
die Kontrolle, -n|il controllo|Die Kontrolle war streng.|A2
die Kopie, -n|la copia|Machen Sie bitte eine Kopie.|A2
der Korb, Körbe|il cestino, la cesta|Der Korb ist voll mit Obst.|A2
das Kostüm, -e|il costume, il tailleur|Sie trägt ein elegantes Kostüm.|A2
der Kredit, -e|il credito, il prestito|Ich brauche einen Kredit.|A2
der Kreis, -e|il cerchio, il circondario|Zeichne einen Kreis.|A2
der Krieg, -e|la guerra|Der Krieg ist schrecklich.|B1
die Kuh, Kühe|la mucca|Die Kuh gibt Milch.|A2
die Kunst, Künste|l'arte|Ich interessiere mich für Kunst.|A2
der Künstler, - / die Künstlerin, -nen|l'artista|Der Künstler malt ein Bild.|A2
der Laden, Läden|il negozio|Der Laden ist geschlossen.|A2
die Lage, -n|la posizione, la situazione|Die Lage ist schwierig.|A2
die Landkarte, -n|la cartina geografica|Schau auf die Landkarte!|A2
der Lärm (kein Pl.)|il rumore|Der Lärm ist laut.|A2
die Laune, -n|l'umore|Er ist heute guter Laune.|A2
das Leder (kein Pl.)|il cuoio, la pelle|Die Tasche ist aus Leder.|A2
die Leitung, -en|la direzione, la linea|Die Leitung ist besetzt.|A2
das Licht, -er|la luce|Mach das Licht an!|A1
das Lied, -er|la canzone|Ich singe ein Lied.|A1
die Liste, -n|la lista|Ich mache eine Liste.|A2
das Lob (kein Pl.)|la lode, l'elogio|Er bekommt viel Lob.|A2
der Löffel, -|il cucchiaio|Ich brauche einen Löffel.|A1
die Lücke, -n|la lacuna, il vuoto|Füll die Lücke aus!|A2
die Lüge, -n|la bugia|Das ist eine Lüge!|A2
der Magen, Mägen|lo stomaco|Ich habe Magenschmerzen.|A2
die Macht (kein Pl.)|il potere|Er hat viel Macht.|B1
das Mal, -e|la volta|Das ist das erste Mal.|A1
die Mannschaft, -en|la squadra|Die Mannschaft hat gewonnen.|A2
der Markt, Märkte|il mercato|Ich gehe auf den Markt.|A1
die Maße (Pl.)|le misure|Welche Maße hat das Zimmer?|A2
das Material, -ien|il materiale|Das Material ist gut.|A2
die Mauer, -n|il muro|Die Mauer ist hoch.|A2
die Maus, Mäuse|il topo|Die Maus frisst Käse.|A2
die Medizin (kein Pl.)|la medicina|Er studiert Medizin.|A2
die Mehrheit, -en|la maggioranza|Die Mehrheit hat zugestimmt.|B1
die Meinung, -en|l'opinione|Was ist deine Meinung?|A2
die Menge, -n|la quantità|Die Menge ist groß.|A2
der Mensch, -en|l'essere umano, la persona|Jeder Mensch ist anders.|A1
das Metall, -e|il metallo|Das ist aus Metall.|A2
der Meter, -|il metro|Das Zimmer ist 5 Meter lang.|A1
die Methode, -n|il metodo|Diese Methode ist gut.|A2
die Metzgerei, -en|la macelleria|Ich kaufe Fleisch in der Metzgerei.|A2
die Million, -en|il milione|Es gibt Millionen von Sternen.|A2
die Minderheit, -en|la minoranza|Die Minderheit stimmte dagegen.|B1
das Mitglied, -er|il membro, l'iscritto|Ich bin Mitglied im Verein.|A2
das Mittel, -|il mezzo|Dieses Mittel hilft.|A2
die Mode, -n|la moda|Die Mode ändert sich.|A2
das Modell, -e|il modello|Das ist ein neues Modell.|A2
der Mond, -e|la luna|Der Mond scheint hell.|A2
die Möglichkeit, -en|la possibilità|Es gibt viele Möglichkeiten.|A2
die Mühe, -n|lo sforzo, la fatica|Er gibt sich viel Mühe.|A2
der Müll (kein Pl.)|la spazzatura, i rifiuti|Bring den Müll raus!|A2
die Münze, -n|la moneta|Ich brauche Münzen für den Automaten.|A2
die Nachricht, -en|la notizia, il messaggio|Ich habe eine Nachricht bekommen.|A1
der Nachteil, -e|lo svantaggio|Das hat auch Nachteile.|A2
die Nadel, -n|l'ago|Ich brauche eine Nadel.|A2
die Nähe (kein Pl.)|la vicinanza|In der Nähe gibt es ein Restaurant.|A1
der Nebel, -|la nebbia|Der Nebel ist dicht.|A2
das Netz, -e|la rete|Das Netz ist kaputt.|A2
die Neugier (kein Pl.)|la curiosità|Neugier ist wichtig.|A2
das Niveau, -s|il livello|Das Niveau ist hoch.|A2
der Norden (kein Pl.)|il nord|Hamburg liegt im Norden.|A2
die Not, Nöte|il bisogno, la necessità, l'emergenza|In der Not hilft man einander.|B1
die Notiz, -en|l'appunto, la nota|Ich mache mir Notizen.|A2
der Nutzen (kein Pl.)|l'utilità, il vantaggio|Der Nutzen ist groß.|B1
das Objekt, -e|l'oggetto|Das Objekt ist interessant.|A2
der Osten (kein Pl.)|l'est|Die Sonne geht im Osten auf.|A2
das Ostern (meist ohne Artikel)|la Pasqua|Frohe Ostern!|A1
der Ozean, -e|l'oceano|Der Ozean ist tief.|A2
die Packung, -en|la confezione, il pacco|Eine Packung Kekse, bitte.|A2
das Parlament, -e|il parlamento|Das Parlament tagt heute.|B1
die Party, -s|la festa|Wir machen eine Party.|A1
der Patient, -en / die Patientin, -nen|il paziente / la paziente|Der Patient wartet auf den Arzt.|A2
die Pension, -en|la pensione (alloggio)|Wir übernachten in einer Pension.|A2
das Pflaster, -|il cerotto|Hast du ein Pflaster?|A2
die Pflanze, -n|la pianta|Die Pflanze braucht Wasser.|A2
die Pflicht, -en|il dovere, l'obbligo|Das ist meine Pflicht.|A2
das Pfund, -e|la libbra (circa 500g)|Ein Pfund Äpfel, bitte.|A2
die Pille, -n|la pillola|Nimm die Pille nach dem Essen.|A2
der Plan, Pläne|il piano, il progetto|Was sind deine Pläne?|A2
die Platte, -n|il piatto (da portata), la lastra, il disco|Die Platte ist voll mit Käse.|A2
der Politiker, - / die Politikerin, -nen|il politico / la politica|Der Politiker hält eine Rede.|A2
die Polizist, -en / die Polizistin, -nen|il poliziotto / la poliziotta|Der Polizist regelt den Verkehr.|A1
der Preis, -e|il prezzo, il premio|Der Preis ist zu hoch.|A1
die Presse (kein Pl.)|la stampa|Die Presse berichtet über das Ereignis.|B1
das Prinzip, -ien|il principio|Das ist ein wichtiges Prinzip.|A2
das Produkt, -e|il prodotto|Das Produkt ist gut.|A2
der Professor, -en / die Professorin, -nen|il professore / la professoressa|Der Professor hält eine Vorlesung.|A2
das Projekt, -e|il progetto|Wir arbeiten an einem Projekt.|A2
der Prozent, -e|il percento|50 Prozent der Leute sind gekommen.|A2
die Qualität, -en|la qualità|Die Qualität ist gut.|A2
die Quelle, -n|la fonte|Das Wasser kommt aus der Quelle.|A2
die Quittung, -en|la ricevuta, lo scontrino|Kann ich eine Quittung haben?|A2
die Rakete, -n|il razzo, il missile|Die Rakete fliegt zum Mond.|B1
der Rand, Ränder|il bordo, il margine|Schreib nicht bis zum Rand.|A2
der Rauch (kein Pl.)|il fumo|Der Rauch steigt auf.|A2
die Realität, -en|la realtà|Die Realität ist anders.|A2
das Regal, -e|lo scaffale|Die Bücher stehen im Regal.|A2
die Regel, -n|la regola|Es gibt viele Regeln.|A2
die Region, -en|la regione|Diese Region ist schön.|A2
die Reihe, -n|la fila, la serie|Stell dich in die Reihe!|A2
die Religion, -en|la religione|Religion ist ein wichtiges Thema.|A2
die Rente, -n|la pensione (previdenziale)|Er bekommt bald Rente.|A2
die Reparatur, -en|la riparazione|Die Reparatur dauert lange.|A2
die Richtung, -en|la direzione|In welche Richtung gehst du?|A2
der Ring, -e|l'anello|Sie trägt einen Ring.|A2
der Roboter, -|il robot|Der Roboter arbeitet schnell.|A2
die Rolle, -n|il ruolo|Er spielt eine wichtige Rolle.|A2
der Rücken, -|la schiena|Ich habe Rückenschmerzen.|A2
die Ruhe (kein Pl.)|la calma, il silenzio|Ich brauche Ruhe.|A2
die Sache, -n|la cosa, l'affare|Das ist meine Sache.|A2
der Samen, -|il seme|Der Samen wächst.|A2
der Sand (kein Pl.)|la sabbia|Der Sand ist warm.|A2
der Schaden, Schäden|il danno|Der Schaden ist groß.|A2
der Schatten, -|l'ombra|Im Schatten ist es kühl.|A2
die Scheibe, -n|la fetta, il disco, il vetro|Eine Scheibe Brot, bitte.|A2
der Schein, -e|la banconota, il certificato|Ich habe einen 50-Euro-Schein.|A2
das Schlafzimmer, -|la camera da letto|Das Schlafzimmer ist groß.|A1
die Schlange, -n|il serpente, la fila|Ich stehe in der Schlange.|A2
das Schloss, Schlösser|il castello, la serratura|Das Schloss ist alt.|A2
der Schnupfen (kein Pl.)|il raffreddore|Ich habe Schnupfen.|A2
die Schokolade, -n|la cioccolata, il cioccolato|Ich mag Schokolade.|A1
der Schritt, -e|il passo|Geh einen Schritt zurück!|A2
die Schuld (kein Pl.)|la colpa|Das ist meine Schuld.|A2
der Schutz (kein Pl.)|la protezione|Der Schutz ist wichtig.|A2
der Schwamm, Schwämme|la spugna|Ich brauche einen Schwamm.|A2
der Schwanz, Schwänze|la coda|Der Hund wedelt mit dem Schwanz.|A2
das Schwein, -e|il maiale|Das Schwein ist rosa.|A2
der See, -n|il lago|Wir schwimmen im See.|A1
die See (kein Pl.)|il mare|Wir fahren an die See.|A2
die Seife, -n|il sapone|Wasch dir die Hände mit Seife!|A2
der Sekt, -e|lo spumante|Wir trinken Sekt.|A2
der Sender, -|l'emittente, il canale|Welchen Sender schaust du?|A2
der Sessel, -|la poltrona|Ich sitze im Sessel.|A2
die Sicherheit (kein Pl.)|la sicurezza|Die Sicherheit ist wichtig.|A2
das Signal, -e|il segnale|Das Signal ist rot.|A2
das Silber (kein Pl.)|l'argento|Der Ring ist aus Silber.|A2
der Sinn, -e|il senso|Das macht keinen Sinn.|A2
der Ski, -er|lo sci|Ich fahre gern Ski.|A2
die SMS, - (oder: die Kurznachricht, -en)|l'SMS, il messaggio|Ich schicke dir eine SMS.|A1
die Socke, -n|il calzino|Ich trage schwarze Socken.|A1
das Sofa, -s|il divano|Wir sitzen auf dem Sofa.|A1
das Spiel, -e|il gioco, la partita|Das Spiel war spannend.|A1
der Spiegel, -|lo specchio|Ich schaue in den Spiegel.|A2
die Spitze, -n|la punta, la cima|Die Spitze des Berges ist schneebedeckt.|A2
der Staat, -en|lo stato|Deutschland ist ein Staat.|A2
das Stadion, Stadien|lo stadio|Das Stadion ist voll.|A2
der Stahl (kein Pl.)|l'acciaio|Das ist aus Stahl.|B1
der Stamm, Stämme|il tronco, la tribù|Der Stamm ist dick.|B1
der Standard, -s|lo standard|Der Standard ist hoch.|A2
der Standpunkt, -e|il punto di vista|Das ist mein Standpunkt.|A2
der Star, -s|la star, la celebrità|Sie ist ein Star.|A2
die Station, -en|la stazione, la fermata|Die nächste Station ist zentral.|A2
die Statistik, -en|la statistica|Die Statistik zeigt interessante Zahlen.|A2
der Staub (kein Pl.)|la polvere|Ich muss Staub wischen.|A2
der Stecker, -|la spina (elettrica)|Steck den Stecker in die Steckdose.|A2
der Stein, -e|la pietra|Der Stein ist schwer.|A2
die Stelle, -n|il posto, la posizione|Ich suche eine Stelle.|A2
der Stern, -e|la stella|Die Sterne leuchten.|A1
die Steuer, -n|la tassa, l'imposta|Ich muss Steuern zahlen.|A2
die Stimmung, -en|l'atmosfera, l'umore|Die Stimmung ist gut.|A2
der Stoff, -e|il tessuto, la materia|Der Stoff ist weich.|A2
der Stolz (kein Pl.)|l'orgoglio|Er ist voller Stolz.|A2
der Strand, Strände|la spiaggia|Wir gehen an den Strand.|A1
der Streit (kein Pl.)|la lite, la disputa|Es gab einen Streit.|A2
der Strom (kein Pl.)|la corrente elettrica|Der Strom ist teuer.|A2
die Struktur, -en|la struttura|Die Struktur ist klar.|A2
das Stück, -e|il pezzo|Gib mir ein Stück Kuchen.|A1
die Stufe, -n|il gradino, il livello|Pass auf die Stufe auf!|A2
der Sturm, Stürme|la tempesta|Der Sturm war stark.|A2
der Süden (kein Pl.)|il sud|München liegt im Süden.|A2
die Summe, -n|la somma|Die Summe ist hoch.|A2
die Szene, -n|la scena|Die Szene war lustig.|A2
der Tank, -s|il serbatoio|Der Tank ist leer.|A2
die Tankstelle, -n|la stazione di servizio, il benzinaio|Wo ist die nächste Tankstelle?|A1
die Tante, -n|la zia|Meine Tante wohnt in Berlin.|A1
der Tanz, Tänze|la danza, il ballo|Der Tanz war schön.|A2
die Technik, -en|la tecnica, la tecnologia|Die Technik ist modern.|A2
der Teig, -e|l'impasto|Der Teig muss ruhen.|A2
der Text, -e|il testo|Lesen Sie den Text.|A1
das Ticket, -s|il biglietto|Hast du ein Ticket?|A1
die Tiefe, -n|la profondità|Die Tiefe ist groß.|A2
das Tief, -s|la bassa pressione|Ein Tief bringt Regen.|B1
die Tinte, -n|l'inchiostro|Die Tinte ist blau.|A2
der Titel, -|il titolo|Der Titel des Buches ist interessant.|A2
der Tod (kein Pl.)|la morte|Der Tod ist unvermeidlich.|B1
der Ton, Töne|il suono, il tono|Der Ton ist laut.|A2
der Topf, Töpfe|la pentola|Der Topf ist heiß.|A1
das Tor, -e|la porta (calcio), il portone|Das Tor ist geschlossen.|A2
die Tour, -en|il giro, il tour|Wir machen eine Tour.|A2
der Trend, -s|la tendenza, il trend|Der Trend ist positiv.|A2
die Treppe, -n|la scala|Geh die Treppe hinauf!|A1
der Trick, -s|il trucco, l'espediente|Das ist ein guter Trick.|A2
der Tropfen, -|la goccia|Ein Tropfen Wasser fällt.|A2
die Tüte, -n|la busta, il sacchetto|Ich brauche eine Tüte.|A2
der Typ, -en|il tipo|Er ist ein netter Typ.|A2
der Überblick (kein Pl.)|la panoramica, la visione d'insieme|Ich brauche einen Überblick.|A2
die Überschrift, -en|il titolo, l'intestazione|Die Überschrift ist lang.|A2
das Ufer, -|la riva, la sponda|Wir sitzen am Ufer.|A2
die Uhr, -en|l'orologio, l'ora|Die Uhr zeigt 12 Uhr.|A1
der Umgang (kein Pl.)|la frequentazione, il modo di trattare|Der Umgang mit Menschen ist wichtig.|A2
der Umschlag, Umschläge|la busta (per lettera)|Steck den Brief in den Umschlag.|A2
der Umstand, Umstände|la circostanza|Unter diesen Umständen ist es schwer.|A2
der Umzug, Umzüge|il trasloco|Der Umzug war anstrengend.|A2
das Unheil (kein Pl.)|la sventura, il disastro|Ein Unheil geschah.|B1
das Unrecht (kein Pl.)|l'ingiustizia, il torto|Das ist Unrecht.|B1
der Unterschied, -e|la differenza|Es gibt einen großen Unterschied.|A2
die Untersuchung, -en|l'esame, l'indagine|Die Untersuchung zeigt gute Ergebnisse.|A2
der Ursprung, Ursprünge|l'origine|Der Ursprung ist unklar.|A2
das Urteil, -e|il giudizio, la sentenza|Das Urteil war hart.|A2
der Vater, Väter|il padre|Mein Vater ist Arzt.|A1
die Verantwortung, -en|la responsabilità|Ich übernehme die Verantwortung.|A2
der Verband, Verbände|la fasciatura, l'associazione|Ich brauche einen Verband.|A2
das Verbot, -e|il divieto|Es gibt ein Rauchverbot.|A2
der Verbrecher, -|il criminale|Der Verbrecher wurde gefasst.|B1
das Verfahren, -|il procedimento, il metodo|Das Verfahren ist kompliziert.|A2
die Vergangenheit (kein Pl.)|il passato|Die Vergangenheit ist vorbei.|A2
das Vergnügen, -|il piacere, il divertimento|Es war mir ein Vergnügen.|A2
das Verhalten (kein Pl.)|il comportamento|Das Verhalten ist seltsam.|A2
das Verhältnis, -se|il rapporto, la relazione|Das Verhältnis ist gut.|A2
der Verkäufer, - / die Verkäuferin, -nen|il venditore / la venditrice|Die Verkäuferin ist freundlich.|A1
der Verkehr (kein Pl.)|il traffico|Der Verkehr ist dicht.|A1
der Verlag, -e|la casa editrice|Der Verlag ist bekannt.|A2
der Verlust, -e|la perdita|Der Verlust ist groß.|A2
der Versuch, -e|il tentativo, l'esperimento|Der Versuch war erfolgreich.|A2
die Verwendung, -en|l'uso, l'utilizzo|Die Verwendung ist einfach.|A2
der Vertreter, -|il rappresentante|Der Vertreter kommt morgen.|A2
die Verwaltung, -en|l'amministrazione|Die Verwaltung ist zuständig.|A2
der Vorteil, -e|il vantaggio|Das hat viele Vorteile.|A2
die Vorstellung, -en|lo spettacolo, la presentazione|Die Vorstellung beginnt um 20 Uhr.|A2
die Waffe, -n|l'arma|Die Waffe ist gefährlich.|B1
der Wagen, -|l'auto, il carro|Der Wagen ist neu.|A1
die Wahrheit (kein Pl.)|la verità|Sag mir die Wahrheit!|A2
die Währung, -en|la valuta|Die Währung ist der Euro.|A2
die Ware, -n|la merce|Die Ware ist gut.|A2
die Wärme (kein Pl.)|il calore|Die Wärme tut gut.|A2
die Warnung, -en|l'avvertimento|Die Warnung kam zu spät.|A2
das Weihnachten (meist ohne Artikel)|il Natale|Frohe Weihnachten!|A1
die Welle, -n|l'onda|Die Wellen sind hoch.|A2
die Welt, -en|il mondo|Die Welt ist groß.|A1
der Wert, -e|il valore|Der Wert ist hoch.|A2
der Westen (kein Pl.)|l'ovest|Die Sonne geht im Westen unter.|A2
der Wettbewerb, -e|la competizione, il concorso|Der Wettbewerb war spannend.|A2
die Wiese, -n|il prato|Die Kinder spielen auf der Wiese.|A2
der Wille (kein Pl.)|la volontà|Wo ein Wille ist, ist auch ein Weg.|A2
der Wind, -e|il vento|Der Wind weht stark.|A1
der Winter, -|l'inverno|Im Winter ist es kalt.|A1
die Wirklichkeit (kein Pl.)|la realtà|Die Wirklichkeit ist anders.|A2
die Wirkung, -en|l'effetto|Die Wirkung ist stark.|A2
die Wissenschaft, -en|la scienza|Die Wissenschaft macht Fortschritte.|A2
der Wissenschaftler, - / die Wissenschaftlerin, -nen|lo scienziato / la scienziata|Die Wissenschaftlerin forscht.|A2
der Witz, -e|la barzelletta|Der Witz ist lustig.|A2
die Woche, -n|la settimana|In dieser Woche habe ich viel zu tun.|A1
die Wolke, -n|la nuvola|Am Himmel sind Wolken.|A1
das Wunder, -|il miracolo|Das ist ein Wunder!|A2
der Zahn, Zähne|il dente|Ich habe Zahnschmerzen.|A1
das Zeichen, -|il segno|Das ist ein gutes Zeichen.|A2
die Zeichnung, -en|il disegno|Die Zeichnung ist schön.|A2
die Zeile, -n|la riga|Lies die erste Zeile.|A2
der Zettel, -|il bigliettino, il foglietto|Ich schreibe eine Notiz auf einen Zettel.|A1
das Zeugnis, -se|la pagella, il certificato|Mein Zeugnis ist gut.|A2
das Zitat, -e|la citazione|Das ist ein bekanntes Zitat.|A2
die Zone, -n|la zona|Die Zone ist gesperrt.|A2
der Zoo, -s|lo zoo|Wir gehen in den Zoo.|A1
der Zucker (kein Pl.)|lo zucchero|Ich nehme keinen Zucker.|A1
der Zug, Züge|il treno|Der Zug fährt ab.|A1
der Zugang, Zugänge|l'accesso|Der Zugang ist frei.|A2
die Zusammenarbeit (kein Pl.)|la collaborazione|Die Zusammenarbeit ist gut.|A2
der Zuschauer, -|lo spettatore|Die Zuschauer applaudieren.|A2
der Zweck, -e|lo scopo, il fine|Was ist der Zweck?|A2
der Zweifel, -|il dubbio|Ich habe Zweifel.|A2

