verbo|traducao_tedesco|esempio|nivel
l'inizio|der Beginn (kein Pl.)|Der Beginn ist um 9 Uhr.|A2
l'esempio|das Beispiel, -e|Geben Sie mir ein Beispiel.|A2
la consulenza|die Beratung, -en|Ich brauche eine Beratung.|A2
l'occupazione, l'impiego|die Beschäftigung, -en|Ich suche eine Beschäftigung.|A2
il reclamo|die Beschwerde, -n|Ich möchte eine Beschwerde einreichen.|A2
il movimento|die Bewegung, -en|Bewegung ist gesund.|A2
la relazione, il rapporto|die Beziehung, -en|Sie haben eine gute Beziehung.|A2
la biblioteca|die Bibliothek, -en|Ich lerne in der Bibliothek.|A2
la pera|die Birne, -n|Ich esse gern Birnen.|A1
la camicetta, la blusa|die Bluse, -n|Die Bluse ist elegant.|A1
il pavimento, il suolo|der Boden, Böden|Der Boden ist sauber.|A2
la bomba|die Bombe, -n|Die Polizei fand eine Bombe.|B1
il francobollo|die Briefmarke, -n|Ich brauche eine Briefmarke.|A2
gli occhiali|die Brille, -n|Ich trage eine Brille.|A1
il ponte|die Brücke, -n|Die Brücke ist alt.|A2
il petto, il seno|die Brust, Brüste|Er hat Schmerzen in der Brust.|A2
il castello, la fortezza|die Burg, -en|Die Burg ist sehr alt.|A2
il centesimo|der Cent, -s|Das kostet 50 Cent.|A1
il club|der Club, -s|Ich bin Mitglied im Club.|A2
la crema|die Creme, -s|Die Creme ist gut für die Haut.|A2
il pollice|der Daumen, -|Er zeigt den Daumen nach oben.|A2
la coperta, il soffitto|die Decke, -n|Die Decke ist warm.|A2
il ladro|der Dieb, -e|Der Dieb wurde gefasst.|A2
il servizio|der Dienst, -e|Ich habe heute Dienst.|A2
il martedì|der Dienstag, -e|Am Dienstag habe ich einen Termin.|A1
la cosa, l'oggetto|das Ding, -e|Was ist das für ein Ding?|A2
il giovedì|der Donnerstag, -e|Am Donnerstag treffen wir uns.|A1
la camera doppia|das Doppelzimmer, -|Ich möchte ein Doppelzimmer buchen.|A2
il villaggio, il paese|das Dorf, Dörfer|Das Dorf ist klein.|A2
la sete|der Durst (kein Pl.)|Ich habe Durst.|A1
l'angolo|die Ecke, -n|Das Café ist an der Ecke.|A1
l'uovo|das Ei, -er|Ich esse ein Ei zum Frühstück.|A1
il reddito|das Einkommen, -|Mein Einkommen ist nicht schlecht.|A2
la decisione|die Entscheidung, -en|Das ist eine schwere Entscheidung.|A2
lo sviluppo|die Entwicklung, -en|Die Entwicklung ist positiv.|A2
il risultato|das Ergebnis, -se|Das Ergebnis ist gut.|A2
l'esperienza|die Erfahrung, -en|Ich habe viel Erfahrung.|A2
il ricordo|die Erinnerung, -en|Das ist eine schöne Erinnerung.|A2
l'educazione|die Erziehung (kein Pl.)|Die Erziehung der Kinder ist wichtig.|A2
l'euro|der Euro, -s|Das kostet 10 Euro.|A1
l'esperto / l'esperta|der Experte, -n / die Expertin, -nen|Der Experte erklärt das Problem.|A2
il viaggio, il tragitto|die Fahrt, -en|Die Fahrt dauert zwei Stunden.|A2
il caso|der Fall, Fälle|In diesem Fall bin ich nicht sicher.|A2
il tifoso, il fan|der Fan, -s|Ich bin ein großer Fan.|A2
febbraio|der Februar|Im Februar ist es noch kalt.|A1
il campo|das Feld, -er|Die Bauern arbeiten auf dem Feld.|A2
le vacanze (scolastiche)|die Ferien (Pl.)|In den Ferien fahre ich weg.|A1
la festa|das Fest, -e|Das Fest war schön.|A2
la carne|das Fleisch (kein Pl.)|Ich esse gern Fleisch.|A1
la domanda|die Frage, -n|Ich habe eine Frage.|A1
la rana|der Frosch, Frösche|Der Frosch springt ins Wasser.|A2
la forchetta|der Gabel, -n|Wo ist die Gabel?|A1
il corridoio, il passo|der Gang, Gänge|Der Gang ist lang und dunkel.|A2
il garage|die Garage, -n|Das Auto steht in der Garage.|A2
il pensiero|der Gedanke, -n|Das ist ein interessanter Gedanke.|A2
il dipinto, il quadro|das Gemälde, -|Das Gemälde ist wertvoll.|B1
il comune, la comunità|die Gemeinde, -n|Die Gemeinde organisiert ein Fest.|A2
il piacere, il godimento|der Genuss, Genüsse|Essen ist ein Genuss.|B1
la società|die Gesellschaft, -en|Die Gesellschaft verändert sich.|A2
la figura, la forma|die Gestalt, -en|Eine dunkle Gestalt erschien.|B1
il peso|das Gewicht, -e|Das Gewicht ist zu hoch.|A2
la maniglia, l'impugnatura|der Griff, -e|Fass den Griff an!|A2
la taglia, la grandezza|die Größe, -n|Welche Größe tragen Sie?|A2
il collo, la gola|der Hals, Hälse|Ich habe Halsschmerzen.|A2
la metà|die Hälfte, -n|Die Hälfte ist fertig.|A2
il commercio|der Handel (kein Pl.)|Der Handel wächst.|B1
l'asciugamano|das Handtuch, Handtücher|Ich brauche ein Handtuch.|A2
la capitale|die Hauptstadt, Hauptstädte|Berlin ist die Hauptstadt Deutschlands.|A1
il casco|der Helm, -e|Trag einen Helm beim Radfahren!|A2
la camicia|das Hemd, -en|Das Hemd ist weiß.|A1
il riscaldamento|die Heizung, -en|Die Heizung funktioniert nicht.|A2
il fornello, la cucina|der Herd, -e|Ich koche auf dem Herd.|A2
il legno|das Holz (kein Pl.)|Der Tisch ist aus Holz.|A2
i pantaloni|die Hose, -n|Die Hose ist zu lang.|A1
la collina|der Hügel, -|Wir steigen auf den Hügel.|A2
l'industria|die Industrie, -n|Die Industrie ist wichtig.|B1
l'isola|die Insel, -n|Wir fahren auf eine Insel.|A2
l'interesse|das Interesse, -n|Ich habe Interesse an Sprachen.|A2
l'intervista|das Interview, -s|Ich habe ein Interview gegeben.|A2
la giacca|die Jacke, -n|Zieh deine Jacke an!|A1
l'anniversario, il giubileo|das Jubiläum, Jubiläen|Wir feiern unser Jubiläum.|B1
la gioventù|die Jugend (kein Pl.)|Die Jugend ist die schönste Zeit.|A2
il formaggio|der Käse (kein Pl.)|Ich esse gern Käse.|A1
la cassa|die Kasse, -n|Bitte zahlen Sie an der Kasse.|A1
il gatto|die Katze, -n|Die Katze schläft.|A1
la cantina|der Keller, -|Der Wein ist im Keller.|A2
la candela|die Kerze, -n|Zünd die Kerze an!|A2
il cuscino|das Kissen, -|Das Kissen ist weich.|A2
il pianoforte|das Klavier, -e|Ich spiele Klavier.|A2
il re / la regina|der König, -e / die Königin, -nen|Der König lebt im Schloss.|A2
il controllo|die Kontrolle, -n|Die Kontrolle war streng.|A2
la copia|die Kopie, -n|Machen Sie bitte eine Kopie.|A2
il cestino, la cesta|der Korb, Körbe|Der Korb ist voll mit Obst.|A2
il costume, il tailleur|das Kostüm, -e|Sie trägt ein elegantes Kostüm.|A2
il credito, il prestito|der Kredit, -e|Ich brauche einen Kredit.|A2
il cerchio, il circondario|der Kreis, -e|Zeichne einen Kreis.|A2
la guerra|der Krieg, -e|Der Krieg ist schrecklich.|B1
la mucca|die Kuh, Kühe|Die Kuh gibt Milch.|A2
l'arte|die Kunst, Künste|Ich interessiere mich für Kunst.|A2
l'artista|der Künstler, - / die Künstlerin, -nen|Der Künstler malt ein Bild.|A2
il negozio|der Laden, Läden|Der Laden ist geschlossen.|A2
la posizione, la situazione|die Lage, -n|Die Lage ist schwierig.|A2
la cartina geografica|die Landkarte, -n|Schau auf die Landkarte!|A2
il rumore|der Lärm (kein Pl.)|Der Lärm ist laut.|A2
l'umore|die Laune, -n|Er ist heute guter Laune.|A2
il cuoio, la pelle|das Leder (kein Pl.)|Die Tasche ist aus Leder.|A2
la direzione, la linea|die Leitung, -en|Die Leitung ist besetzt.|A2
la luce|das Licht, -er|Mach das Licht an!|A1
la canzone|das Lied, -er|Ich singe ein Lied.|A1
la lista|die Liste, -n|Ich mache eine Liste.|A2
la lode, l'elogio|das Lob (kein Pl.)|Er bekommt viel Lob.|A2
il cucchiaio|der Löffel, -|Ich brauche einen Löffel.|A1
la lacuna, il vuoto|die Lücke, -n|Füll die Lücke aus!|A2
la bugia|die Lüge, -n|Das ist eine Lüge!|A2
lo stomaco|der Magen, Mägen|Ich habe Magenschmerzen.|A2
il potere|die Macht (kein Pl.)|Er hat viel Macht.|B1
la volta|das Mal, -e|Das ist das erste Mal.|A1
la squadra|die Mannschaft, -en|Die Mannschaft hat gewonnen.|A2
il mercato|der Markt, Märkte|Ich gehe auf den Markt.|A1
le misure|die Maße (Pl.)|Welche Maße hat das Zimmer?|A2
il materiale|das Material, -ien|Das Material ist gut.|A2
il muro|die Mauer, -n|Die Mauer ist hoch.|A2
il topo|die Maus, Mäuse|Die Maus frisst Käse.|A2
la medicina|die Medizin (kein Pl.)|Er studiert Medizin.|A2
la maggioranza|die Mehrheit, -en|Die Mehrheit hat zugestimmt.|B1
l'opinione|die Meinung, -en|Was ist deine Meinung?|A2
la quantità|die Menge, -n|Die Menge ist groß.|A2
l'essere umano, la persona|der Mensch, -en|Jeder Mensch ist anders.|A1
il metallo|das Metall, -e|Das ist aus Metall.|A2
il metro|der Meter, -|Das Zimmer ist 5 Meter lang.|A1
il metodo|die Methode, -n|Diese Methode ist gut.|A2
la macelleria|die Metzgerei, -en|Ich kaufe Fleisch in der Metzgerei.|A2
il milione|die Million, -en|Es gibt Millionen von Sternen.|A2
la minoranza|die Minderheit, -en|Die Minderheit stimmte dagegen.|B1
il membro, l'iscritto|das Mitglied, -er|Ich bin Mitglied im Verein.|A2
il mezzo|das Mittel, -|Dieses Mittel hilft.|A2
la moda|die Mode, -n|Die Mode ändert sich.|A2
il modello|das Modell, -e|Das ist ein neues Modell.|A2
la luna|der Mond, -e|Der Mond scheint hell.|A2
la possibilità|die Möglichkeit, -en|Es gibt viele Möglichkeiten.|A2
lo sforzo, la fatica|die Mühe, -n|Er gibt sich viel Mühe.|A2
la spazzatura, i rifiuti|der Müll (kein Pl.)|Bring den Müll raus!|A2
la moneta|die Münze, -n|Ich brauche Münzen für den Automaten.|A2
la notizia, il messaggio|die Nachricht, -en|Ich habe eine Nachricht bekommen.|A1
lo svantaggio|der Nachteil, -e|Das hat auch Nachteile.|A2
l'ago|die Nadel, -n|Ich brauche eine Nadel.|A2
la vicinanza|die Nähe (kein Pl.)|In der Nähe gibt es ein Restaurant.|A1
la nebbia|der Nebel, -|Der Nebel ist dicht.|A2
la rete|das Netz, -e|Das Netz ist kaputt.|A2
la curiosità|die Neugier (kein Pl.)|Neugier ist wichtig.|A2
il livello|das Niveau, -s|Das Niveau ist hoch.|A2
il nord|der Norden (kein Pl.)|Hamburg liegt im Norden.|A2
il bisogno, la necessità, l'emergenza|die Not, Nöte|In der Not hilft man einander.|B1
l'appunto, la nota|die Notiz, -en|Ich mache mir Notizen.|A2
l'utilità, il vantaggio|der Nutzen (kein Pl.)|Der Nutzen ist groß.|B1
l'oggetto|das Objekt, -e|Das Objekt ist interessant.|A2
l'est|der Osten (kein Pl.)|Die Sonne geht im Osten auf.|A2
la Pasqua|das Ostern (meist ohne Artikel)|Frohe Ostern!|A1
l'oceano|der Ozean, -e|Der Ozean ist tief.|A2
la confezione, il pacco|die Packung, -en|Eine Packung Kekse, bitte.|A2
il parlamento|das Parlament, -e|Das Parlament tagt heute.|B1
la festa|die Party, -s|Wir machen eine Party.|A1
il paziente / la paziente|der Patient, -en / die Patientin, -nen|Der Patient wartet auf den Arzt.|A2
la pensione (alloggio)|die Pension, -en|Wir übernachten in einer Pension.|A2
il cerotto|das Pflaster, -|Hast du ein Pflaster?|A2
la pianta|die Pflanze, -n|Die Pflanze braucht Wasser.|A2
il dovere, l'obbligo|die Pflicht, -en|Das ist meine Pflicht.|A2
la libbra (circa 500g)|das Pfund, -e|Ein Pfund Äpfel, bitte.|A2
la pillola|die Pille, -n|Nimm die Pille nach dem Essen.|A2
il piano, il progetto|der Plan, Pläne|Was sind deine Pläne?|A2
il piatto (da portata), la lastra, il disco|die Platte, -n|Die Platte ist voll mit Käse.|A2
il politico / la politica|der Politiker, - / die Politikerin, -nen|Der Politiker hält eine Rede.|A2
il poliziotto / la poliziotta|die Polizist, -en / die Polizistin, -nen|Der Polizist regelt den Verkehr.|A1
il prezzo, il premio|der Preis, -e|Der Preis ist zu hoch.|A1
la stampa|die Presse (kein Pl.)|Die Presse berichtet über das Ereignis.|B1
il principio|das Prinzip, -ien|Das ist ein wichtiges Prinzip.|A2
il prodotto|das Produkt, -e|Das Produkt ist gut.|A2
il professore / la professoressa|der Professor, -en / die Professorin, -nen|Der Professor hält eine Vorlesung.|A2
il progetto|das Projekt, -e|Wir arbeiten an einem Projekt.|A2
il percento|der Prozent, -e|50 Prozent der Leute sind gekommen.|A2
la qualità|die Qualität, -en|Die Qualität ist gut.|A2
la fonte|die Quelle, -n|Das Wasser kommt aus der Quelle.|A2
la ricevuta, lo scontrino|die Quittung, -en|Kann ich eine Quittung haben?|A2
il razzo, il missile|die Rakete, -n|Die Rakete fliegt zum Mond.|B1
il bordo, il margine|der Rand, Ränder|Schreib nicht bis zum Rand.|A2
il fumo|der Rauch (kein Pl.)|Der Rauch steigt auf.|A2
la realtà|die Realität, -en|Die Realität ist anders.|A2
lo scaffale|das Regal, -e|Die Bücher stehen im Regal.|A2
la regola|die Regel, -n|Es gibt viele Regeln.|A2
la regione|die Region, -en|Diese Region ist schön.|A2
la fila, la serie|die Reihe, -n|Stell dich in die Reihe!|A2
la religione|die Religion, -en|Religion ist ein wichtiges Thema.|A2
la pensione (previdenziale)|die Rente, -n|Er bekommt bald Rente.|A2
la riparazione|die Reparatur, -en|Die Reparatur dauert lange.|A2
la direzione|die Richtung, -en|In welche Richtung gehst du?|A2
l'anello|der Ring, -e|Sie trägt einen Ring.|A2
il robot|der Roboter, -|Der Roboter arbeitet schnell.|A2
il ruolo|die Rolle, -n|Er spielt eine wichtige Rolle.|A2
la schiena|der Rücken, -|Ich habe Rückenschmerzen.|A2
la calma, il silenzio|die Ruhe (kein Pl.)|Ich brauche Ruhe.|A2
la cosa, l'affare|die Sache, -n|Das ist meine Sache.|A2
il seme|der Samen, -|Der Samen wächst.|A2
la sabbia|der Sand (kein Pl.)|Der Sand ist warm.|A2
il danno|der Schaden, Schäden|Der Schaden ist groß.|A2
l'ombra|der Schatten, -|Im Schatten ist es kühl.|A2
la fetta, il disco, il vetro|die Scheibe, -n|Eine Scheibe Brot, bitte.|A2
la banconota, il certificato|der Schein, -e|Ich habe einen 50-Euro-Schein.|A2
la camera da letto|das Schlafzimmer, -|Das Schlafzimmer ist groß.|A1
il serpente, la fila|die Schlange, -n|Ich stehe in der Schlange.|A2
il castello, la serratura|das Schloss, Schlösser|Das Schloss ist alt.|A2
il raffreddore|der Schnupfen (kein Pl.)|Ich habe Schnupfen.|A2
la cioccolata, il cioccolato|die Schokolade, -n|Ich mag Schokolade.|A1
il passo|der Schritt, -e|Geh einen Schritt zurück!|A2
la colpa|die Schuld (kein Pl.)|Das ist meine Schuld.|A2
la protezione|der Schutz (kein Pl.)|Der Schutz ist wichtig.|A2
la spugna|der Schwamm, Schwämme|Ich brauche einen Schwamm.|A2
la coda|der Schwanz, Schwänze|Der Hund wedelt mit dem Schwanz.|A2
il maiale|das Schwein, -e|Das Schwein ist rosa.|A2
il lago|der See, -n|Wir schwimmen im See.|A1
il mare|die See (kein Pl.)|Wir fahren an die See.|A2
il sapone|die Seife, -n|Wasch dir die Hände mit Seife!|A2
lo spumante|der Sekt, -e|Wir trinken Sekt.|A2
l'emittente, il canale|der Sender, -|Welchen Sender schaust du?|A2
la poltrona|der Sessel, -|Ich sitze im Sessel.|A2
la sicurezza|die Sicherheit (kein Pl.)|Die Sicherheit ist wichtig.|A2
il segnale|das Signal, -e|Das Signal ist rot.|A2
l'argento|das Silber (kein Pl.)|Der Ring ist aus Silber.|A2
il senso|der Sinn, -e|Das macht keinen Sinn.|A2
lo sci|der Ski, -er|Ich fahre gern Ski.|A2
l'SMS, il messaggio|die SMS, - (oder: die Kurznachricht, -en)|Ich schicke dir eine SMS.|A1
il calzino|die Socke, -n|Ich trage schwarze Socken.|A1
il divano|das Sofa, -s|Wir sitzen auf dem Sofa.|A1
il gioco, la partita|das Spiel, -e|Das Spiel war spannend.|A1
lo specchio|der Spiegel, -|Ich schaue in den Spiegel.|A2
la punta, la cima|die Spitze, -n|Die Spitze des Berges ist schneebedeckt.|A2
lo stato|der Staat, -en|Deutschland ist ein Staat.|A2
lo stadio|das Stadion, Stadien|Das Stadion ist voll.|A2
l'acciaio|der Stahl (kein Pl.)|Das ist aus Stahl.|B1
il tronco, la tribù|der Stamm, Stämme|Der Stamm ist dick.|B1
lo standard|der Standard, -s|Der Standard ist hoch.|A2
il punto di vista|der Standpunkt, -e|Das ist mein Standpunkt.|A2
la star, la celebrità|der Star, -s|Sie ist ein Star.|A2
la stazione, la fermata|die Station, -en|Die nächste Station ist zentral.|A2
la statistica|die Statistik, -en|Die Statistik zeigt interessante Zahlen.|A2
la polvere|der Staub (kein Pl.)|Ich muss Staub wischen.|A2
la spina (elettrica)|der Stecker, -|Steck den Stecker in die Steckdose.|A2
la pietra|der Stein, -e|Der Stein ist schwer.|A2
il posto, la posizione|die Stelle, -n|Ich suche eine Stelle.|A2
la stella|der Stern, -e|Die Sterne leuchten.|A1
la tassa, l'imposta|die Steuer, -n|Ich muss Steuern zahlen.|A2
l'atmosfera, l'umore|die Stimmung, -en|Die Stimmung ist gut.|A2
il tessuto, la materia|der Stoff, -e|Der Stoff ist weich.|A2
l'orgoglio|der Stolz (kein Pl.)|Er ist voller Stolz.|A2
la spiaggia|der Strand, Strände|Wir gehen an den Strand.|A1
la lite, la disputa|der Streit (kein Pl.)|Es gab einen Streit.|A2
la corrente elettrica|der Strom (kein Pl.)|Der Strom ist teuer.|A2
la struttura|die Struktur, -en|Die Struktur ist klar.|A2
il pezzo|das Stück, -e|Gib mir ein Stück Kuchen.|A1
il gradino, il livello|die Stufe, -n|Pass auf die Stufe auf!|A2
la tempesta|der Sturm, Stürme|Der Sturm war stark.|A2
il sud|der Süden (kein Pl.)|München liegt im Süden.|A2
la somma|die Summe, -n|Die Summe ist hoch.|A2
la scena|die Szene, -n|Die Szene war lustig.|A2
il serbatoio|der Tank, -s|Der Tank ist leer.|A2
la stazione di servizio, il benzinaio|die Tankstelle, -n|Wo ist die nächste Tankstelle?|A1
la zia|die Tante, -n|Meine Tante wohnt in Berlin.|A1
la danza, il ballo|der Tanz, Tänze|Der Tanz war schön.|A2
la tecnica, la tecnologia|die Technik, -en|Die Technik ist modern.|A2
l'impasto|der Teig, -e|Der Teig muss ruhen.|A2
il testo|der Text, -e|Lesen Sie den Text.|A1
il biglietto|das Ticket, -s|Hast du ein Ticket?|A1
la profondità|die Tiefe, -n|Die Tiefe ist groß.|A2
la bassa pressione|das Tief, -s|Ein Tief bringt Regen.|B1
l'inchiostro|die Tinte, -n|Die Tinte ist blau.|A2
il titolo|der Titel, -|Der Titel des Buches ist interessant.|A2
la morte|der Tod (kein Pl.)|Der Tod ist unvermeidlich.|B1
il suono, il tono|der Ton, Töne|Der Ton ist laut.|A2
la pentola|der Topf, Töpfe|Der Topf ist heiß.|A1
la porta (calcio), il portone|das Tor, -e|Das Tor ist geschlossen.|A2
il giro, il tour|die Tour, -en|Wir machen eine Tour.|A2
la tendenza, il trend|der Trend, -s|Der Trend ist positiv.|A2
la scala|die Treppe, -n|Geh die Treppe hinauf!|A1
il trucco, l'espediente|der Trick, -s|Das ist ein guter Trick.|A2
la goccia|der Tropfen, -|Ein Tropfen Wasser fällt.|A2
la busta, il sacchetto|die Tüte, -n|Ich brauche eine Tüte.|A2
il tipo|der Typ, -en|Er ist ein netter Typ.|A2
la panoramica, la visione d'insieme|der Überblick (kein Pl.)|Ich brauche einen Überblick.|A2
il titolo, l'intestazione|die Überschrift, -en|Die Überschrift ist lang.|A2
la riva, la sponda|das Ufer, -|Wir sitzen am Ufer.|A2
l'orologio, l'ora|die Uhr, -en|Die Uhr zeigt 12 Uhr.|A1
la frequentazione, il modo di trattare|der Umgang (kein Pl.)|Der Umgang mit Menschen ist wichtig.|A2
la busta (per lettera)|der Umschlag, Umschläge|Steck den Brief in den Umschlag.|A2
la circostanza|der Umstand, Umstände|Unter diesen Umständen ist es schwer.|A2
il trasloco|der Umzug, Umzüge|Der Umzug war anstrengend.|A2
la sventura, il disastro|das Unheil (kein Pl.)|Ein Unheil geschah.|B1
l'ingiustizia, il torto|das Unrecht (kein Pl.)|Das ist Unrecht.|B1
la differenza|der Unterschied, -e|Es gibt einen großen Unterschied.|A2
l'esame, l'indagine|die Untersuchung, -en|Die Untersuchung zeigt gute Ergebnisse.|A2
l'origine|der Ursprung, Ursprünge|Der Ursprung ist unklar.|A2
il giudizio, la sentenza|das Urteil, -e|Das Urteil war hart.|A2
il padre|der Vater, Väter|Mein Vater ist Arzt.|A1
la responsabilità|die Verantwortung, -en|Ich übernehme die Verantwortung.|A2
la fasciatura, l'associazione|der Verband, Verbände|Ich brauche einen Verband.|A2
il divieto|das Verbot, -e|Es gibt ein Rauchverbot.|A2
il criminale|der Verbrecher, -|Der Verbrecher wurde gefasst.|B1
il procedimento, il metodo|das Verfahren, -|Das Verfahren ist kompliziert.|A2
il passato|die Vergangenheit (kein Pl.)|Die Vergangenheit ist vorbei.|A2
il piacere, il divertimento|das Vergnügen, -|Es war mir ein Vergnügen.|A2
il comportamento|das Verhalten (kein Pl.)|Das Verhalten ist seltsam.|A2
il rapporto, la relazione|das Verhältnis, -se|Das Verhältnis ist gut.|A2
il venditore / la venditrice|der Verkäufer, - / die Verkäuferin, -nen|Die Verkäuferin ist freundlich.|A1
il traffico|der Verkehr (kein Pl.)|Der Verkehr ist dicht.|A1
la casa editrice|der Verlag, -e|Der Verlag ist bekannt.|A2
la perdita|der Verlust, -e|Der Verlust ist groß.|A2
il tentativo, l'esperimento|der Versuch, -e|Der Versuch war erfolgreich.|A2
l'uso, l'utilizzo|die Verwendung, -en|Die Verwendung ist einfach.|A2
il rappresentante|der Vertreter, -|Der Vertreter kommt morgen.|A2
l'amministrazione|die Verwaltung, -en|Die Verwaltung ist zuständig.|A2
il vantaggio|der Vorteil, -e|Das hat viele Vorteile.|A2
lo spettacolo, la presentazione|die Vorstellung, -en|Die Vorstellung beginnt um 20 Uhr.|A2
l'arma|die Waffe, -n|Die Waffe ist gefährlich.|B1
l'auto, il carro|der Wagen, -|Der Wagen ist neu.|A1
la verità|die Wahrheit (kein Pl.)|Sag mir die Wahrheit!|A2
la valuta|die Währung, -en|Die Währung ist der Euro.|A2
la merce|die Ware, -n|Die Ware ist gut.|A2
il calore|die Wärme (kein Pl.)|Die Wärme tut gut.|A2
l'avvertimento|die Warnung, -en|Die Warnung kam zu spät.|A2
il Natale|das Weihnachten (meist ohne Artikel)|Frohe Weihnachten!|A1
l'onda|die Welle, -n|Die Wellen sind hoch.|A2
il mondo|die Welt, -en|Die Welt ist groß.|A1
il valore|der Wert, -e|Der Wert ist hoch.|A2
l'ovest|der Westen (kein Pl.)|Die Sonne geht im Westen unter.|A2
la competizione, il concorso|der Wettbewerb, -e|Der Wettbewerb war spannend.|A2
il prato|die Wiese, -n|Die Kinder spielen auf der Wiese.|A2
la volontà|der Wille (kein Pl.)|Wo ein Wille ist, ist auch ein Weg.|A2
il vento|der Wind, -e|Der Wind weht stark.|A1
l'inverno|der Winter, -|Im Winter ist es kalt.|A1
la realtà|die Wirklichkeit (kein Pl.)|Die Wirklichkeit ist anders.|A2
l'effetto|die Wirkung, -en|Die Wirkung ist stark.|A2
la scienza|die Wissenschaft, -en|Die Wissenschaft macht Fortschritte.|A2
lo scienziato / la scienziata|der Wissenschaftler, - / die Wissenschaftlerin, -nen|Die Wissenschaftlerin forscht.|A2
la barzelletta|der Witz, -e|Der Witz ist lustig.|A2
la settimana|die Woche, -n|In dieser Woche habe ich viel zu tun.|A1
la nuvola|die Wolke, -n|Am Himmel sind Wolken.|A1
il miracolo|das Wunder, -|Das ist ein Wunder!|A2
il dente|der Zahn, Zähne|Ich habe Zahnschmerzen.|A1
il segno|das Zeichen, -|Das ist ein gutes Zeichen.|A2
il disegno|die Zeichnung, -en|Die Zeichnung ist schön.|A2
la riga|die Zeile, -n|Lies die erste Zeile.|A2
il bigliettino, il foglietto|der Zettel, -|Ich schreibe eine Notiz auf einen Zettel.|A1
la pagella, il certificato|das Zeugnis, -se|Mein Zeugnis ist gut.|A2
la citazione|das Zitat, -e|Das ist ein bekanntes Zitat.|A2
la zona|die Zone, -n|Die Zone ist gesperrt.|A2
lo zoo|der Zoo, -s|Wir gehen in den Zoo.|A1
lo zucchero|der Zucker (kein Pl.)|Ich nehme keinen Zucker.|A1
il treno|der Zug, Züge|Der Zug fährt ab.|A1
l'accesso|der Zugang, Zugänge|Der Zugang ist frei.|A2
la collaborazione|die Zusammenarbeit (kein Pl.)|Die Zusammenarbeit ist gut.|A2
lo spettatore|der Zuschauer, -|Die Zuschauer applaudieren.|A2
lo scopo, il fine|der Zweck, -e|Was ist der Zweck?|A2
il dubbio|der Zweifel, -|Ich habe Zweifel.|A2
