verbo|traducao_tedesco|esempio|nivel
condurre, guidare|führen|Sie führt das Unternehmen erfolgreich.|B2
emettere scintille, trasmettere via radio|funken|Der Funke funkelt im Dunkeln.|B2
basarsi su|fußen auf D|Seine Theorie fußt auf vielen Experimenten.|B2
nutrire, dare da mangiare|füttern|Wir müssen die Tiere füttern.|B2
partorire|gebären|Sie hat ein gesundes Kind geboren.|B2
ordinare, esigere|gebieten|Die Situation gebietet schnelles Handeln.|B2
spettare, essere dovuto|gebühren|Es gebührt ihm Respekt.|B2
riuscire, avere successo|gelingen|Das Experiment ist gelungen.|B2
approvare, autorizzare|genehmigen|Der Antrag wurde genehmigt.|B2
finire in, trovarsi in (situazione)|geraten|Er ist in Schwierigkeiten geraten.|B2
dare forma, creare, organizzare|gestalten|Wir gestalten unsere Zukunft selbst.|B2
garantire|gewährleisten|Der Staat muss die Sicherheit gewährleisten.|B2
vincere, ottenere|gewinnen|Wir müssen das Spiel gewinnen.|B2
pascolare|grasen|Die Kühe grasen auf der Wiese.|B2
ricorrere a, usare|greifen zu D|Er greift zu drastischen Maßnahmen.|B2
allevare (figli), educare|großziehen|Sie hat ihre Kinder allein großgezogen.|B2
gestire il bilancio, risparmiare|haushalten|Man muss gut haushalten, um Geld zu sparen.|B2
colpire, battere|hauen|Er hat mit dem Hammer auf den Nagel gehauen.|B2
guarire, curare|heilen|Der Arzt konnte die Wunde heilen.|B2
provocare, causare|hervorrufen|Das Ereignis rief große Freude hervor.|B2
inginocchiarsi|knien|Er kniete nieder, um zu beten.|B2
compostare|kompostieren|Wir kompostieren unsere Bioabfälle.|B2
consumare|konsumieren|Die Bevölkerung konsumiert viel Zucker.|B2
incatenare|ketten|Der Hund ist angekettet.|B2
vestire, adattarsi (vestiti)|kleiden|Diese Farbe kleidet dich gut.|B2
applaudire, spettegolare|klatschen|Das Publikum klatschte laut.|B2
fare rumore|lärmen|Die Kinder lärmen im Garten.|B2
legalizzare|legalisieren|Die Regierung will das Gesetz legalisieren.|B2
consegnare, fornire|liefern|Die Firma liefert die Waren am Dienstag.|B2
elencare, enumerare|listen|Bitte listen Sie alle Punkte auf.|B2
mirare a, alludere a|münzen auf A|Die Bemerkung war auf mich gemünzt.|B2
investigare, seguire (un'attività)|nachgehen|Die Polizei geht einem Hinweis nach.|B2
dimostrare, provare|nachweisen|Er konnte seine Unschuld nachweisen.|B2
deporre, rinunciare, stendere|niederlegen|Der Präsident hat sein Amt niedergelegt.|B2
spettare a, essere responsabilità di|obliegen|Diese Aufgabe obliegt dem Teamleiter.|B2
prendersi cura di, coltivare|pflegen|Sie pflegt ihre Großmutter.|B2
pellegrinare|pilgern|Viele Menschen pilgern nach Santiago de Compostela.|B2
scoppiare, esplodere|platzen|Der Ballon ist geplatzt.|B2
lodare, elogiare|preisen|Er preist die Vorzüge des neuen Produkts.|B2
pressare, spremere|pressen|Sie presst den Saft aus den Orangen.|B2
qualificarsi per|qualifizieren (sich für A)|Sie hat sich für die Weltmeisterschaft qualifiziert.|B2
correre ad alta velocità, infuriarsi|rasen|Das Auto rast über die Autobahn.|B2
mormorare (acqua, vento), fruscire|rauschen|Der Wind rauscht in den Bäumen.|B2
muoversi, agitarsi|regen (sich)|Es regt sich etwas im Gebüsch.|B2
lottare, spremere|ringen|Er ringt um Fassung.|B2
riposare|ruhen|Er ruht sich nach der Arbeit aus.|B2
ungere, applicare pomata|salben|Der Apotheker salbt die Wunde.|B2
danneggiare, nuocere|schädigen|Rauchen schädigt die Gesundheit.|B2
cambiare (marcia), accendere/spegnere|schalten|Bitte schalten Sie den Motor ein.|B2
ingoiare|schlucken|Er schluckt die Tablette.|B2
avere sapore di|schmecken nach D|Der Kuchen schmeckt nach Zitrone.|A2
truccarsi|schminken|Sie schminkt sich jeden Morgen.|B1
scuotere, tremare|schütteln|Er schüttelt den Kopf.|B1
versare, rovesciare|schütten|Sie schüttet Wasser in den Eimer.|B2
sudare|schwitzen|Ich schwitze, weil es so heiß ist.|B1
navigare a vela|segeln|Wir segeln auf dem See.|A2
abbassare, diminuire|senken|Man muss die Kosten senken.|B1
affondare, diminuire|sinken|Die Temperaturen sind gesunken.|B1
scherzare|spaßen|Er spaßt gerne mit seinen Freunden.|B2
tendere, tirare|spannen|Spann den Bogen!|B2
pranzare (formale), cenare|speisen|Wir speisen heute Abend im Restaurant.|B2
offrire, pagare|spendieren|Er spendiert uns einen Kaffee.|B2
bloccare, chiudere, vietare l'accesso|sperren|Die Straße ist gesperrt.|B1
appuntire (matita), affilare|spitzen|Er spitzt seinen Bleistift.|B2
iniettare, spruzzare|spritzen|Der Arzt spritzt ihm ein Medikament.|B1
provenire da, originare da|stammen aus D|Er stammt aus einer alten Familie.|B2
arginare, accumulare|stauen|Der Verkehr staut sich auf der Autobahn.|B2
pungere, trafiggere|stechen|Die Biene hat mich gestochen.|B1
rubare|stehlen|Jemand hat mein Fahrrad gestohlen.|A2
aumentare, intensificare|steigern|Man muss die Produktion steigern.|A2
fermarsi, esitare, ristagnare|stocken|Der Verkehr stockt auf der Autobahn.|B2
spingere, collidere, urtare|stoßen|Er hat sich am Kopf gestoßen.|B2
arenarsi, naufragare, restare bloccato|stranden|Das Schiff ist gestrandet.|B2
aspirare a, sforzarsi per|streben nach D|Er strebt nach Perfektion.|B2
allungare|strecken|Streck deine Arme nach oben.|B1
cadere (improvvisamente), rovesciare|stürzen|Er ist die Treppe hinuntergestürzt.|B2
premere, palpare, tastare|tasten|Sie tastete nach dem Lichtschalter.|B2
immergersi|tauchen|Ich tauche gerne im Meer.|B1
dividere, condividere|teilen|Wir teilen uns ein Zimmer.|B1
ticchettare, funzionare (colloquiale)|ticken|Die Uhr tickt laut.|B2
uccidere|töten|Der Jäger tötet das Tier.|B1
allenarsi|trainieren|Ich trainiere dreimal pro Woche.|A2
trasportare|transportieren|Die Waren werden mit dem LKW transportiert.|B1
gocciolare|tropfen|Wasser tropft aus dem Wasserhahn.|B1
fare, mettere|tun|Was tust du gerade?|A2
revisionare, rielaborare|überarbeiten|Ich muss meine Präsentation überarbeiten.|B2
sorpassare|überholen|Das Auto hat den LKW überholt.|A2
lasciare (a qualcuno), cedere|überlassen|Ich überlasse dir die Entscheidung.|B2
assumere, prendere in carico|übernehmen|Er hat die Leitung des Projekts übernommen.|B1
trasmettere, trasferire, tradurre|übertragen|Das Spiel wird live übertragen.|B2
convincere|überzeugen|Er konnte sie von seiner Idee überzeugen.|B1
comprendere, includere|umfassen|Der Bericht umfasst alle wichtigen Punkte.|B2
trattare con, gestire|umgehen mit D|Sie kann gut mit Stress umgehen.|B2
trasformare, convertire|umwandeln|Man kann Sonnenenergie in Strom umwandeln.|B2
intraprendere, fare (un'attività)|unternehmen|Wir wollen etwas zusammen unternehmen.|B1
insegnare|unterrichten|Sie unterrichtet Deutsch an der Schule.|B1
sottolineare, enfatizzare|unterstreichen|Bitte unterstreichen Sie die wichtigen Wörter.|B1
sostenere, supportare|unterstützen|Ich unterstütze dich bei deinem Vorhaben.|B1
fissare un appuntamento con|verabreden (sich mit D)|Ich habe mich mit einem Freund verabredet.|B1
provocare, ordinare (di fare qualcosa)|veranlassen|Was hat diese Reaktion veranlasst?|B2
connettere, unire, collegare (telefono)|verbinden|Ich verbinde Sie mit der Zentrale.|B2
proibire|verbieten|Rauchen ist hier verboten.|B1
bruciare, incenerire|verbrennen|Das Holz verbrennt im Ofen.|B1
migliorare|verbessern|Sie möchte ihre Deutschkenntnisse verbessern.|A2
rovinare, guastare|verderben|Die Hitze hat das Essen verdorben.|B2
raddoppiare|verdoppeln (sich)|Die Zahl der Anmeldungen hat sich verdoppelt.|B1
procedere, agire, perdersi (per strada)|verfahren|Wie sollen wir jetzt verfahren?|B2
avvelenare|vergiften|Die Chemikalien haben das Wasser vergiftet.|B2
ingrandire, aumentare|vergrößern (sich)|Das Unternehmen will sich vergrößern.|B1
negoziare|verhandeln|Wir müssen über den Preis verhandeln.|B2
rimpicciolire, ridurre|verkleinern (sich)|Die Gruppe hat sich verkleinert.|B1
rallentare, ritardare|verlangsamen|Man muss den Prozess verlangsamen.|B2
prolungare, estendere|verlängern|Ich möchte meinen Mietvertrag verlängern.|B1
affittare (a qualcuno)|vermieten|Sie vermietet eine Wohnung.|A2
mediare, trasmettere|vermitteln|Er vermittelt zwischen den Parteien.|B2
nutrire, fornire cibo|verpflegen|Die Gäste wurden gut verpflegt.|B2
diminuire, ridurre|verringern (sich)|Der Lärm hat sich verringert.|B1
eseguire, svolgere (lavoro)|verrichten|Er verrichtet seine Arbeit gewissenhaft.|B2
contaminare, infestare|verseuchen|Das Gebiet wurde verseucht.|B2
assicurare, garantire|versichern|Ich versichere Ihnen, dass alles in Ordnung ist.|B2
fornire, rifornire con|versorgen (mit D)|Wir versorgen die Stadt mit Strom.|B2
amministrare, gestire|verwalten|Sie verwaltet das Büro.|B2
trasformare|verwandeln|Der Frosch verwandelte sich in einen Prinzen.|B2
evitare|vermeiden|Man sollte Fehler vermeiden.|B2
registrare, annotare|verzeichnen|Das Unternehmen verzeichnete hohe Gewinne.|B2
rinunciare a|verzichten auf A|Ich verzichte auf Zucker in meinem Kaffee.|B1
eseguire, realizzare (formale)|vollziehen|Der Richter vollzieht das Urteil.|B2
presupporre, richiedere come prerequisito|voraussetzen|Das Studium setzt gute Englischkenntnisse voraus.|B2
prescrivere, stabilire|vorschreiben|Der Arzt hat mir Ruhe verschrieben.|B2
prevenire, prendere precauzioni|vorsorgen|Man sollte für das Alter vorsorgen.|B2
osare, azzardarsi|wagen|Er wagte einen Sprung ins kalte Wasser.|B2
trasformare, cambiare|wandeln|Die Landschaft wandelt sich im Herbst.|B2
aspettare|warten auf A|Ich warte auf dich.|A2
svegliare (qualcuno)|wecken|Kannst du mich morgen früh wecken?|A2
piangere|weinen|Das Baby weint.|A2
indicare, puntare|weisen|Er weist auf das Schild.|B2
fare pubblicità, reclutare|werben|Die Firma wirbt für ihre Produkte.|B1
lavorare, fare lavori manuali|werken|Er werkt gerne in seiner Werkstatt.|B2
valutare, valorizzare|werten|Der Coach wertet die Leistung der Spieler.|B2
scommettere|wetten|Ich wette, dass es regnen wird.|B2
salutare con la mano|winken|Sie winkt mir zum Abschied.|B1
pulire (con panno), strofinare|wischen|Wisch bitte den Tisch ab.|B2
sapere|wissen|Ich weiß die Antwort nicht.|A1
desiderare, volere|wünschen (sich)|Ich wünsche mir ein neues Buch.|A2
contare|zählen|Die Kinder zählen ihre Spielsachen.|A2
mirare, avere come obiettivo|zielen|Er zielt auf die Zielscheibe.|B2
tirare, trasferirsi, trascinare|ziehen|Zieh die Tür zu!|B1
preparare (cibo)|zubereiten|Sie bereitet ein leckeres Essen zu.|B1
ascoltare (con attenzione)|zuhören|Bitte hör mir zu!|A2
chiudere|zumachen|Kannst du bitte das Fenster zumachen?|A1
cavarsela, farcela|zurechtkommen|Ich komme mit der Situation zurecht.|B2
crollare, collassare|zusammenbrechen|Das alte Gebäude ist zusammengebrochen.|B2
riassumere|zusammenfassen|Fassen Sie die wichtigsten Punkte zusammen.|B1
essere collegato con|zusammenhängen mit D|Das Problem hängt mit dem Wetter zusammen.|B2
convivere con|zusammenleben mit D|Sie leben seit Jahren zusammen.|B1
scontrarsi con|zusammenstoßen mit D|Das Auto ist mit einem Baum zusammengestoßen.|B1
consegnare (corrispondenza)|zustellen|Der Postbote stellt die Briefe zu.|B2
compartecipare, pagare una parte|zuzahlen|Patienten müssen einen Teil der Kosten zuzahlen.|B2
